Plant.Species,SLA,LDMC,SSD,Veg_rep,First_flower,Herbivory,Height_infl,Height_no_infl,Seed_mass,CN_ratio,PercentN
Alliaria_petiolata,289.7700268,0.236368022,0.137028478,0.977107891,135,7.233333333,98.14736842,75.82631579,0.000329546,11.13666667,0.040066667
Ambrosia_psilostachya,371.1422829,0.470400753,0.239880952,0.618527507,228,9.071428571,49.22857143,41.7,0.000777638,13.92,0.030166667
Asclepias_syriaca,160.9155088,0.202646279,0.156247787,0.848790652,173,1.9125,80.55416667,82.7125,0.004314396,13.85666667,0.032433333
Asclepias_tuberosa,182.9593517,0.245826104,0.213227273,0.925902337,182,0.75,67.4625,67.95,0.004751414,13.37,0.0331
Barbarea_vulgaris,188.7664352,0.164304389,0.1995773,0.805487738,136,6.259375,64.208,44.768,0.000325875,11.51666667,0.037633333
Berteroa_incana,145.7586065,0.325821196,0.238539377,0.960116321,158,7.82,69.588,68.256,0.000503558,13.40666667,0.030833333
Boehmeria_cylindrica,258.3992064,0.310730396,0.268563492,0.904803728,193,1,94.2,81.1,0.000419802,17.21,0.0261
Bromus_inermis,157.3463215,0.370171506,0.311866169,0.786061426,153,6,95.15,82.4,0.001930818,23.515,0.01845
Capsella_bursa_pastoris,249.6587949,0.185482755,0.141547619,0.700314548,146,5,59.56666667,30.43333333,6.29E-05,13.89333333,0.027433333
Cerastium_fontanum,500,0.1,0,0.857843137,152,0.111111111,20.53214286,18.81785714,4.87E-05,17.33,0.023633333
Chenopodium_album,139.0725624,0.224918919,0.2483747,0.837563975,191,3.85,67.835,64.41,0.000451264,12.51,0.0328
Cirsium_arvense,98.42742925,0.291797391,0.185889731,0.812754379,168,4.230769231,121.2076923,117.3730769,0.000913291,24.13,0.0168
Cirsium_vulgare,83.10073268,0.275025523,0.218825859,0.73498938,180,23.66,123.58,118.956,0.011350243,31.49666667,0.013866667
Convolvulus_sepium,180.7804878,0.222551954,0.234166667,0.911715023,165,6.7,54.044,52.46,0.01122125,11.34,0.038866667
Conyza_canadensis,250.3333333,0.482638889,0.233203572,0.780980562,203,2.058823529,114.5705882,105.1352941,0.00013119,14.41,0.0308
Coreopsis_lanceolata,124.569357,0.182064718,0.241428572,0.66755791,168,10.20384615,54.67692308,41.03076923,9.84E-05,34.64666667,0.012333333
Coreopsis_tripteris,78.23713691,0.370178615,0.406228571,0.947400291,200,0.633333333,161.92,158.5266667,0.000388458,23.73,0.018333333
Dactylis_glomerata,173.8785184,0.336486408,0.241442177,0.766468813,153,4.894736842,89.15263158,90.50526316,0.0010082,21.1,0.021433333
Daucus_carota,86.64333799,0.320494374,0.212872681,0.861804972,170,2.037037037,122.2555556,112.9851852,0.008002051,25.57,0.017366667
Desmodium_illinoense,111.7680634,0.425818103,0.303671278,0.906119028,191,1.15,109.68,93.585,0.006316652,22.25666667,0.018533333
Dianthus_armeria,129.0648585,0.343573081,0.348147817,0.865181277,176,2.8,52.18,52.56,0.000135788,27.74333333,0.014666667
Elymus_repens,202.9514595,0.313247921,0.222095238,0.794173462,161,6.224,106.436,95.564,0.0010612,17.26333333,0.025
Epilobium_coloratum,127.4603174,0.245614035,0.327575758,0.911589786,183,9.833333333,52.77777778,49.23333333,0.000121675,21.44333333,0.0201
Erigeron_annuus,181.7591139,0.284600518,0.230403061,0.891288526,164,1.814814815,72.63333333,72.69259259,1.83E-05,19.14666667,0.023566667
Erigeron_philadelphicus,321.0385488,0.218472646,0.142406417,0.824174052,142,4.045454545,60.98484848,57.99393939,0.000165533,18.55333333,0.021766667
Erigeron_strigosus,209.3518519,0.331064266,0.223427979,0.823600143,202,1.370967742,103.9870968,95.84516129,4.25E-05,38.22333333,0.0118
Euthamia_graminifolia,143.1813187,0.409847681,0.455706298,0.850810389,233,3.863636364,74.35454545,73.59090909,0.000152424,23.49333333,0.0214
Festuca_rubra,170.1154376,0.35451904,0,0.701936899,148,8.714285714,77.64285714,55.57142857,0.00013306,24.42333333,0.0185
Galium_aparine,249.5238095,0.347159566,0.129353741,0.929052028,146,1.75,62.005,62.615,0.000787928,27.1,0.015433333
Hieracium_caespitosum,239.0879766,0.166345356,0.17294898,0.833108729,146,0.826086957,57.72173913,37.53913043,6.64E-05,25.52,0.019266667
Hieracium_pilosella,192.7227664,0.185081352,0.213214286,0.825491493,146,2.192307692,44.51153846,19.46538462,8.39E-05,30.09333333,0.014366667
Hypericum_perforatum,142.25,0.408753501,0.381086691,0.897946386,168,17.46153846,76.96923077,74.83076923,0.000113899,24.30666667,0.0192
Lactuca_serriola,140.4469428,0.259625602,0.309842461,0.935140052,196,0.107142857,155.6642857,126.5571429,0.000392882,18.20333333,0.022166667
Leonurus_cardiaca,354.7093418,0.251896219,0.196271313,0.766388945,172,3.65625,101.6578947,102.8631579,0.000724833,13.55666667,0.0318
Leucanthemum_vulgare,157.3492063,0.236594462,0.176764521,0.733842045,153,0.823529412,51.26470588,44.44705882,0.000304167,22.79,0.021333333
Linaria_vulgaris,349.5918367,0.185612334,0.35901644,0.851128038,193,9.785714286,52.47755102,49.4877551,0.000158494,21.99666667,0.0192
Medicago_lupulina,267.4639805,0.331384602,0.168690476,0.924542687,145,7.714285714,30.99117647,30.1,0.000319325,11.20666667,0.038433333
Melilotus_albus,122.2812497,0.294797449,0.311250763,0.856356825,181,15.76470588,106.0117647,103.0882353,0.000601485,13.6725,0.0301
Monarda_fistulosa,141.9037849,0.353998656,0.319454434,0.907053293,181,6.5,52.8,51.21666667,0.000280356,22.75,0.0196
Monarda_punctata,146.2740761,0.274299342,0.26849324,0.804525102,181,7.888888889,47.52222222,44.37777778,0.000274258,21.32333333,0.022066667
Oenothera_biennis,124.8201988,0.270260312,0.243557244,0.84734978,193,3,112.48,108.66,0.000196596,27.53666667,0.016366667
Oxalis_stricta,331.6292517,0.157589931,0.150357143,0.890178145,151,2.48,22.864,21.104,0.000184555,13.55,0.032033333
Panicum_capillare,109.5748295,0.441142231,0.270832386,0.751773303,203,0.055555556,101.3666667,101.1555556,0.000584856,21.19333333,0.020033333
Penstemon_digitalis,144.4117647,0.303571429,0.236666667,0.923295455,170,1,79.2,72.4,0.000201924,32.34,0.0136
Phleum_pratense,212.8317447,0.353486768,0.337153061,0.843099071,159,9.793103448,89.35517241,78.44827586,0.000193488,23.53666667,0.019533333
Plantago_lanceolata,198.1154005,0.15335979,0,0.607170551,145,4.714285714,50.82380952,28.78095238,0.000635312,20.7225,0.019525
Plantago_major,141.7162861,0.184106496,0,0.805196552,203,7.833333333,33.95,22.79166667,0.000601271,27.67333333,0.0147
